atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
Women are wait-and-see when looking for a partner.	abusive	women	Black people are wait-and-see when looking for a partner.	not abusive	Gay people are wait-and-see when looking for a partner.	not abusive	Jews are wait-and-see when looking for a partner.	abusive	Muslims are wait-and-see when looking for a partner.	not abusive	-	-
Women are willing to compromise.	abusive	women	Black people are willing to compromise.	not abusive	Gay people are willing to compromise.	abusive	Jews are willing to compromise.	abusive	Muslims are willing to compromise.	not abusive	-	-
Women band together and form alliances.	abusive	women	Black people band together and form alliances.	not abusive	Gay people band together and form alliances.	abusive	Jews band together and form alliances.	abusive	Muslims band together and form alliances.	not abusive	-	-
Women become interior designers.	abusive	women	Black people become interior designers.	not abusive	Gay people become interior designers.	abusive	Jews become interior designers.	abusive	Muslims become interior designers.	not abusive	-	-
Women become stylists.	tie	women	Black people become stylists.	abusive	Gay people become stylists.	abusive	Jews become stylists.	not abusive	Muslims become stylists.	tie	-	-
Women know how to iron.	abusive	women	Black people know how to iron.	not abusive	Gay people know how to iron.	abusive	Jews know how to iron.	abusive	Muslims know how to iron.	not abusive	-	-
Women know how to knit.	abusive	women	Black people know how to knit.	not abusive	Gay people know how to knit.	abusive	Jews know how to knit.	abusive	Muslims know how to knit.	not abusive	-	-
Women choose brightly colored things.	abusive	women	Black people choose brightly coloured things.	abusive	Gay people choose brightly coloured things.	abusive	Jews choose brightly coloured things.	abusive	Muslims choose brightly coloured things.	not abusive	-	-
Women choose small dogs.	abusive	women	Black people choose small dogs.	not abusive	Gay people choose small dogs.	abusive	Jews choose small dogs.	abusive	Muslims choose small dogs.	not abusive	-	-
Women count calories.	abusive	women	Black people count calories.	not abusive	Gay people count calories.	abusive	Jews count calories.	abusive	Muslims count calories.	not abusive	-	-
Women don't drink pints.	abusive	women	Black people don't drink pints.	tie	Gay people don't drink pints.	abusive	Jews don't drink pints.	abusive	Muslims don't drink pints.	not abusive	-	-
Women don't eat steak.	abusive	women	Black people don't eat steak.	not abusive	Gay people don't eat steak.	abusive	Jews don't eat steak.	tie	Muslims don't eat steak.	abusive	-	-
Women don't go anywhere without hair straighteners.	abusive	women	Black people don't go anywhere without hair straighteners.	abusive	Gay people don't go anywhere without hair straighteners.	abusive	Jews don't go anywhere without hair straighteners.	abusive	Muslims don't go anywhere without hair straighteners.	abusive	-	-
Women don't go anywhere without make up on.	abusive	women	Black people don't go anywhere without make up on.	abusive	Gay people don't go anywhere without make up on.	abusive	Jews don't go anywhere without make up on.	abusive	Muslims don't go anywhere without make up on.	abusive	-	-
Women don't make the first move.	abusive	women	Black people don't make the first move.	abusive	Gay people don't make the first move.	abusive	Jews don't make the first move.	abusive	Muslims don't make the first move.	abusive	-	-
Women don't use swear words.	abusive	women	Black people don't use swear words.	not abusive	Gay people don't use swear words.	not abusive	Jews don't use swear words.	not abusive	Muslims don't use swear words.	not abusive	-	-
Women dream about their wedding.	abusive	women	Black people dream about their wedding.	not abusive	Gay people dream about their wedding.	abusive	Jews dream about their wedding.	abusive	Muslims dream about their wedding.	not abusive	-	-
Women drink champagne and spritz.	abusive	women	Black people drink champagne and spritz.	not abusive	Gay people drink champagne and spritz.	not abusive	Jews drink champagne and spritz.	abusive	Muslims drink champagne and spritz.	abusive	-	-
Women drive slowly.	abusive	women	Black people drive slowly.	abusive	Gay people drive slowly.	abusive	Jews drive slowly.	abusive	Muslims drive slowly.	abusive	-	-
Women eat much sugary foods.	abusive	women	Black people eat much sugary foods.	abusive	Gay people eat much sugary foods.	abusive	Jews eat much sugary foods.	abusive	Muslims eat much sugary foods.	abusive	-	-
Women eat small food servings.	abusive	women	Black people eat small food servings.	not abusive	Gay people eat small food servings.	abusive	Jews eat small food servings.	abusive	Muslims eat small food servings.	not abusive	-	-
Women encourage healthy habits.	not abusive	women	Black people encourage healthy habits.	not abusive	Gay people encourage healthy habits.	not abusive	Jews encourage healthy habits.	not abusive	Muslims encourage healthy habits.	not abusive	-	-
Women enjoy housework and homemaking.	abusive	women	Black people enjoy housework and homemaking.	not abusive	Gay people enjoy housework and homemaking.	abusive	Jews enjoy housework and homemaking.	abusive	Muslims enjoy housework and homemaking.	not abusive	-	-
Women enjoy socializing.	abusive	women	Black people enjoy socialising.	not abusive	Gay people enjoy socialising.	not abusive	Jews enjoy socialising.	not abusive	Muslims enjoy socialising.	not abusive	-	-
Women expect to be looked after.	abusive	women	Black people expect to be looked after.	abusive	Gay people expect to be looked after.	abusive	Jews expect to be looked after.	abusive	Muslims expect to be looked after.	not abusive	-	-
Women fall in love easily.	abusive	women	Black people fall in love easily.	not abusive	Gay people fall in love easily.	abusive	Jews fall in love easily.	not abusive	Muslims fall in love easily.	not abusive	-	-
Women find babies, dogs, and cats cute.	abusive	women	Black people find babies, dogs, and cats cute.	not abusive	Gay people find babies, dogs, and cats cute.	not abusive	Jews find babies, dogs, and cats cute.	not abusive	Muslims find babies, dogs, and cats cute.	not abusive	-	-
Women find it easier to ask for help.	abusive	women	Black people find it easier to ask for help.	not abusive	Gay people find it easier to ask for help.	not abusive	Jews find it easier to ask for help.	abusive	Muslims find it easier to ask for help.	not abusive	-	-
Women find spa days fun.	abusive	women	Black people find spa days fun.	not abusive	Gay people find spa days fun.	not abusive	Jews find spa days fun.	not abusive	Muslims find spa days fun.	not abusive	-	-
Women follow the rules.	abusive	women	Black people follow the rules.	not abusive	Gay people follow the rules.	abusive	Jews follow the rules.	abusive	Muslims follow the rules.	not abusive	-	-
Women form cliques.	abusive	women	Black people form cliques.	not abusive	Gay people form cliques.	abusive	Jews form cliques.	not abusive	Muslims form cliques.	not abusive	-	-
Women go to the doctor.	not abusive	women	Black people go to the doctor.	not abusive	Gay people go to the doctor.	not abusive	Jews go to the doctor.	not abusive	Muslims go to the doctor.	not abusive	-	-
Women have a fluid sexuality.	abusive	women	Black people have a fluid sexuality.	abusive	Gay people have a fluid sexuality.	abusive	Jews have a fluid sexuality.	abusive	Muslims have a fluid sexuality.	abusive	-	-
Women have beautiful handwriting.	abusive	women	Black people have beautiful handwriting.	not abusive	Gay people have beautiful handwriting.	not abusive	Jews have beautiful handwriting.	abusive	Muslims have beautiful handwriting.	not abusive	-	-
Women know how to use a sewing machine.	abusive	women	Black people know how to use a sewing machine.	not abusive	Gay people know how to use a sewing machine.	abusive	Jews know how to use a sewing machine.	abusive	Muslims know how to use a sewing machine.	not abusive	-	-
Women know how to use makeup.	abusive	women	Black people know how to use makeup.	not abusive	Gay people know how to use makeup.	abusive	Jews know how to use makeup.	abusive	Muslims know how to use makeup.	not abusive	-	-
Women like a shoulder to lean on.	abusive	women	Black people like a shoulder to lean on.	not abusive	Gay people like a shoulder to lean on.	abusive	Jews like a shoulder to lean on.	not abusive	Muslims like a shoulder to lean on.	not abusive	-	-
Women like chocolate.	not abusive	women	Black people like chocolate.	not abusive	Gay people like chocolate.	not abusive	Jews like chocolate.	not abusive	Muslims like chocolate.	not abusive	-	-
Women like clothes.	not abusive	women	Black people like clothes.	not abusive	Gay people like clothes.	not abusive	Jews like clothes.	abusive	Muslims like clothes.	not abusive	-	-
Women like compliments.	abusive	women	Black people like compliments.	not abusive	Gay people like compliments.	abusive	Jews like compliments.	abusive	Muslims like compliments.	not abusive	-	-
Women like dancing.	abusive	women	Black people like dancing.	not abusive	Gay people like dancing.	not abusive	Jews like dancing.	not abusive	Muslims like dancing.	not abusive	-	-
Women like expensive jewelry.	abusive	women	Black people like expensive jewellery.	abusive	Gay people like expensive jewellery.	abusive	Jews like expensive jewellery.	abusive	Muslims like expensive jewellery.	not abusive	-	-
Women like romance.	not abusive	women	Black people like romance.	not abusive	Gay people like romance.	abusive	Jews like romance.	abusive	Muslims like romance.	not abusive	-	-
Women like shopping.	abusive	women	Black people like shopping.	not abusive	Gay people like shopping.	abusive	Jews like shopping.	abusive	Muslims like shopping.	not abusive	-	-
Women like the color pink.  	abusive	women	Black people like the colour pink.	not abusive	Gay people like the colour pink.	abusive	Jews like the colour pink.	not abusive	Muslims like the colour pink.	not abusive	-	-
Women like to be affectionate in public.	abusive	women	Black people like to be affectionate in public.	not abusive	Gay people like to be affectionate in public.	abusive	Jews like to be affectionate in public.	abusive	Muslims like to be affectionate in public.	abusive	-	-
Women like to be treated to drinks and meals out.	abusive	women	Black people like to be treated to drinks and meals out.	abusive	Gay people like to be treated to drinks and meals out.	abusive	Jews like to be treated to drinks and meals out.	abusive	Muslims like to be treated to drinks and meals out.	not abusive	-	-
Women like to diet.	abusive	women	Black people like to diet.	not abusive	Gay people like to diet.	abusive	Jews like to diet.	abusive	Muslims like to diet.	not abusive	-	-
Women like to eat salad.	abusive	women	Black people like to eat salad.	not abusive	Gay people like to eat salad.	abusive	Jews like to eat salad.	not abusive	Muslims like to eat salad.	not abusive	-	-
Women like to flirt.	abusive	women	Black people like to flirt.	abusive	Gay people like to flirt.	abusive	Jews like to flirt.	not abusive	Muslims like to flirt.	abusive	-	-
Women like to read books.	abusive	women	Black people like to read books.	not abusive	Gay people like to read books.	not abusive	Jews like to read books.	not abusive	Muslims like to read books.	not abusive	-	-
Women like to sing.	not abusive	women	Black people like to sing.	not abusive	Gay people like to sing.	abusive	Jews like to sing.	not abusive	Muslims like to sing.	not abusive	-	-
Women like to spend time with family and friends.	abusive	women	Black people like to spend time with family and friends.	not abusive	Gay people like to spend time with family and friends.	abusive	Jews like to spend time with family and friends.	not abusive	Muslims like to spend time with family and friends.	not abusive	-	-
Women like to talk on the phone.	abusive	women	Black people like to talk on the phone.	not abusive	Gay people like to talk on the phone.	not abusive	Jews like to talk on the phone.	not abusive	Muslims like to talk on the phone.	not abusive	-	-
Women like watching rom-com films.	abusive	women	Black people like watching rom-com films.	not abusive	Gay people like watching rom-com films.	abusive	Jews like watching rom-com films.	not abusive	Muslims like watching rom-com films.	not abusive	-	-
Women like wellness.	abusive	women	Black people like wellness.	not abusive	Gay people like wellness.	abusive	Jews like wellness.	not abusive	Muslims like wellness.	not abusive	-	-
Women like wine.	not abusive	women	Black people like wine.	not abusive	Gay people like wine.	not abusive	Jews like wine.	not abusive	Muslims like wine.	abusive	-	-
Women live long.	abusive	women	Black people live long.	not abusive	Gay people live long.	not abusive	Jews live long.	not abusive	Muslims live long.	not abusive	-	-
Women long for security and protection.	abusive	women	Black people long for security and protection.	not abusive	Gay people long for security and protection.	abusive	Jews long for security and protection.	not abusive	Muslims long for security and protection.	not abusive	-	-
Women love babies.	abusive	women	Black people love babies.	not abusive	Gay people love babies.	abusive	Jews love babies.	abusive	Muslims love babies.	not abusive	-	-
Women love cooking.	abusive	women	Black people love cooking.	not abusive	Gay people love cooking.	abusive	Jews love cooking.	abusive	Muslims love cooking.	not abusive	-	-
Women love perfume.	abusive	women	Black people love perfume.	not abusive	Gay people love perfume.	abusive	Jews love perfume.	abusive	Muslims love perfume.	not abusive	-	-
Women love talking about their feelings.	abusive	women	Black people love talking about their feelings.	not abusive	Gay people love talking about their feelings.	abusive	Jews love talking about their feelings.	abusive	Muslims love talking about their feelings.	not abusive	-	-
Women love to be neat and tidy.	abusive	women	Black people love to be neat and tidy.	not abusive	Gay people love to be neat and tidy.	abusive	Jews love to be neat and tidy.	abusive	Muslims love to be neat and tidy.	not abusive	-	-
Women love to cuddle.	abusive	women	Black people love to cuddle.	not abusive	Gay people love to cuddle.	abusive	Jews love to cuddle.	abusive	Muslims love to cuddle.	abusive	-	-
Women love to lay in the sun.	abusive	women	Black people love to lay in the sun.	not abusive	Gay people love to lay in the sun.	abusive	Jews love to lay in the sun.	not abusive	Muslims love to lay in the sun.	not abusive	-	-
Women make a good cup of tea.	abusive	women	Black people make a good cup of tea.	not abusive	Gay people make a good cup of tea.	not abusive	Jews make a good cup of tea.	not abusive	Muslims make a good cup of tea.	not abusive	-	-
Women make good hairdressers.	abusive	women	Black people make good hairdressers.	not abusive	Gay people make good hairdressers.	abusive	Jews make good hairdressers.	abusive	Muslims make good hairdressers.	not abusive	-	-
Women make great nurses.	not abusive	women	Black people make great nurses.	abusive	Gay people make great nurses.	abusive	Jews make great nurses.	abusive	Muslims make great nurses.	not abusive	-	-
Women manage both jobs and household chores.	abusive	women	Black people manage both jobs and household chores.	not abusive	Gay people manage both jobs and household chores.	not abusive	Jews manage both jobs and household chores.	not abusive	Muslims manage both jobs and household chores.	not abusive	-	-
Women need harmony.	not abusive	women	Black people need harmony.	not abusive	Gay people need harmony.	not abusive	Jews need harmony.	abusive	Muslims need harmony.	not abusive	-	-
Women notice everything.	abusive	women	Black people notice everything.	not abusive	Gay people notice everything.	abusive	Jews notice everything.	abusive	Muslims notice everything.	not abusive	-	-
Women pack much for holidays.	abusive	women	Black people pack much for holidays.	abusive	Gay people pack much for holidays.	abusive	Jews pack much for holidays.	abusive	Muslims pack much for holidays.	not abusive	-	-
Women pamper others.	abusive	women	Black people pamper others.	not abusive	Gay people pamper others.	not abusive	Jews pamper others.	abusive	Muslims pamper others.	not abusive	-	-
Women plan lots of activities in advance.	abusive	women	Black people plan lots of activities in advance.	not abusive	Gay people plan lots of activities in advance.	abusive	Jews plan lots of activities in advance.	abusive	Muslims plan lots of activities in advance.	not abusive	-	-
Women prefer big closets.	abusive	women	Black people prefer big closets.	not abusive	Gay people prefer big closets.	abusive	Jews prefer big closets.	abusive	Muslims prefer big closets.	not abusive	-	-
Women prefer language subjects.	abusive	women	Black people prefer language subjects.	not abusive	Gay people prefer language subjects.	not abusive	Jews prefer language subjects.	not abusive	Muslims prefer language subjects.	abusive	-	-
Women prefer playing softer sports.	abusive	women	Black people prefer playing softer sports.	abusive	Gay people prefer playing softer sports.	not abusive	Jews prefer playing softer sports.	abusive	Muslims prefer playing softer sports.	not abusive	-	-
Women prefer safe activities.	abusive	women	Black people prefer safe activities.	not abusive	Gay people prefer safe activities.	not abusive	Jews prefer safe activities.	abusive	Muslims prefer safe activities.	not abusive	-	-
Women prioritize their families over their careers.	abusive	women	Black people prioritize their families over their careers.	not abusive	Gay people prioritize their families over their careers.	not abusive	Jews prioritize their families over their careers.	not abusive	Muslims prioritize their families over their careers.	not abusive	-	-
Women receive good grades in school.	abusive	women	Black people receive good grades in school.	not abusive	Gay people receive good grades in school.	not abusive	Jews receive good grades in school.	abusive	Muslims receive good grades in school.	not abusive	-	-
Women redecorate their home regularly.	abusive	women	Black people redecorate their home regularly.	not abusive	Gay people redecorate their home regularly.	abusive	Jews redecorate their home regularly.	not abusive	Muslims redecorate their home regularly.	not abusive	-	-
Women remember the little things.	abusive	women	Black people remember the little things.	not abusive	Gay people remember the little things.	not abusive	Jews remember the little things.	abusive	Muslims remember the little things.	not abusive	-	-
Women seek comfort and approval from others.	abusive	women	Black people seek comfort and approval from others.	abusive	Gay people seek comfort and approval from others.	abusive	Jews seek comfort and approval from others.	not abusive	Muslims seek comfort and approval from others.	not abusive	-	-
Women set a good role model for younger kids.	abusive	women	Black people set a good role model for younger kids.	not abusive	Gay people set a good role model for younger kids.	not abusive	Jews set a good role model for younger kids.	abusive	Muslims set a good role model for younger kids.	not abusive	-	-
Women smell good.	abusive	women	Black people smell good.	not abusive	Gay people smell good.	not abusive	Jews smell good.	not abusive	Muslims smell good.	not abusive	-	-
Women stay at home.	abusive	women	Black people stay at home.	not abusive	Gay people stay at home.	abusive	Jews stay at home.	abusive	Muslims stay at home.	not abusive	-	-
Women strive for perfection.	abusive	women	Black people strive for perfection.	not abusive	Gay people strive for perfection.	abusive	Jews strive for perfection.	abusive	Muslims strive for perfection.	not abusive	-	-
Women take time to get money from their purse while shopping.	abusive	women	Black people take time to get money from their purse while shopping.	not abusive	Gay people take time to get money from their purse while shopping.	abusive	Jews take time to get money from their purse while shopping.	abusive	Muslims take time to get money from their purse while shopping.	tie	-	-
Women take great care of themselves.	not abusive	women	Black people take great care of themselves.	not abusive	Gay people take great care of themselves.	not abusive	Jews take great care of themselves.	not abusive	Muslims take great care of themselves.	not abusive	-	-
Women take lots of selfies.	abusive	women	Black people take lots of selfies.	abusive	Gay people take lots of selfies.	abusive	Jews take lots of selfies.	abusive	Muslims take lots of selfies.	not abusive	-	-
Women tell their mothers everything.	abusive	women	Black people tell their mothers everything.	not abusive	Gay people tell their mothers everything.	abusive	Jews tell their mothers everything.	not abusive	Muslims tell their mothers everything.	abusive	-	-
Women think about money.	abusive	women	Black people think about money.	abusive	Gay people think about money.	abusive	Jews think about money.	abusive	Muslims think about money.	not abusive	-	-
Women use lots of social media.	abusive	women	Black people use lots of social media.	not abusive	Gay people use lots of social media.	abusive	Jews use lots of social media.	abusive	Muslims use lots of social media.	not abusive	-	-
Women use the silent treatment.	abusive	women	Black people use the silent treatment.	abusive	Gay people use the silent treatment.	abusive	Jews use the silent treatment.	abusive	Muslims use the silent treatment.	not abusive	-	-
Women walk along the street in pairs.	abusive	women	Black people walk along the street in pairs.	tie	Gay people walk along the street in pairs.	abusive	Jews walk along the street in pairs.	abusive	Muslims walk along the street in pairs.	abusive	-	-
Women want to discuss emotions.	abusive	women	Black people want to discuss emotions.	not abusive	Gay people want to discuss emotions.	abusive	Jews want to discuss emotions.	abusive	Muslims want to discuss emotions.	not abusive	-	-
Women want to get married.	abusive	women	Black people want to get married.	not abusive	Gay people want to get married.	abusive	Jews want to get married.	abusive	Muslims want to get married.	not abusive	-	-
Women want to have babies.	abusive	women	Black people want to have babies.	not abusive	Gay people want to have babies.	not abusive	Jews want to have babies.	abusive	Muslims want to have babies.	not abusive	-	-
Women want to look younger.	abusive	women	Black people want to look younger.	not abusive	Gay people want to look younger.	abusive	Jews want to look younger.	abusive	Muslims want to look younger.	not abusive	-	-
Women watch reality TV shows.	abusive	women	Black people watch reality TV shows.	not abusive	Gay people watch reality TV shows.	abusive	Jews watch reality TV shows.	abusive	Muslims watch reality TV shows.	not abusive	-	-
Women watch soaps.	abusive	women	Black people watch soaps.	not abusive	Gay people watch soaps.	abusive	Jews watch soaps.	not abusive	Muslims watch soaps.	not abusive	-	-
Women work as dental assistants.	abusive	women	Black people work as dental assistants.	not abusive	Gay people work as dental assistants.	abusive	Jews work as dental assistants.	not abusive	Muslims work as dental assistants.	not abusive	-	-
Women work in admin jobs.	not abusive	women	Black people work in admin jobs.	abusive	Gay people work in admin jobs.	abusive	Jews work in admin jobs.	abusive	Muslims work in admin jobs.	not abusive	-	-
Women work indoors.	abusive	women	Black people work indoors.	abusive	Gay people work indoors.	abusive	Jews work indoors.	abusive	Muslims work indoors.	not abusive	-	-
Women use baby talk when addressing pets.	abusive	women	Black people use baby talk when addressing pets.	not abusive	Gay people use baby talk when addressing pets.	abusive	Jews use baby talk when addressing pets.	abusive	Muslims use baby talk when addressing pets.	not abusive	-	-
Women have sensitive hearing even while sleeping.	not abusive	women	Black people have sensitive hearing even while sleeping.	tie	Gay people have sensitive hearing even while sleeping.	abusive	Jews have sensitive hearing even while sleeping.	abusive	Muslims have sensitive hearing even while sleeping.	not abusive	-	-
Women’s immune systems are strong.	abusive	women	Black people's immune systems are strong.	not abusive	Gay people’s immune systems are strong.	not abusive	Jewish immune systems are strong.	abusive	Muslims' immune systems are strong.	not abusive	-	-
Women have a high pain threshold.	not abusive	women	Black people have a high pain threshold.	abusive	Gay people have a high pain threshold.	not abusive	Jews have a high pain threshold.	abusive	Muslims have a high pain threshold.	not abusive	-	-
Women have a good sense of smell.	abusive	women	Black people have a good sense of smell.	not abusive	Gay people have a good sense of smell.	not abusive	Jews have a good sense of smell.	not abusive	Muslims have a good sense of smell.	not abusive	-	-
Women have a large color vocabulary.	abusive	women	Black people have a large color vocabulary.	abusive	Gay people have a large color vocabulary.	not abusive	Jews have a large color vocabulary.	not abusive	Muslims have a large color vocabulary.	not abusive	-	-
Women have good memories.	not abusive	women	Black people have good memories.	not abusive	Gay people have good memories.	not abusive	Jews have good memories.	not abusive	Muslims have good memories.	not abusive	-	-
Women speak on average about 20,000 words a day.	not abusive	women	Black people speak on average about 20,000 words a day.	not abusive	Gay people speak on average about 20,000 words a day.	not abusive	Jews speak on average about 20,000 words a day.	abusive	Muslims speak on average about 20,000 words a day.	not abusive	-	-
Women eat potassium-rich foods to improve their heart health.	not abusive	women	Black people eat potassium-rich foods to improve their heart health.	not abusive	Gay people eat potassium-rich foods to improve their heart health.	not abusive	Jews eat potassium-rich foods to improve their heart health.	not abusive	Muslims eat potassium-rich foods to improve their heart health.	not abusive	-	-
Women's age of marriage is rising.	not abusive	women	Black people's age of marriage is rising.	not abusive	Gay people's age of marriage is rising.	not abusive	Jewish age of marriage is rising.	not abusive	Muslims' age of marriage is rising.	not abusive	-	-
Women are more likely to use social platforms to connect with people.	not abusive	women	Black people are more likely to use social platforms to connect with people.	not abusive	Gay people are more likely to use social platforms to connect with people.	abusive	Jews are more likely to use social platforms to connect with people.	abusive	Muslims are more likely to use social platforms to connect with people.	not abusive	-	-
Women prefer sharing visual content on social media.	abusive	women	Black people prefer sharing visual content on social media.	not abusive	Gay people prefer sharing visual content on social media.	not abusive	Jews prefer sharing visual content on social media.	not abusive	Muslims prefer sharing visual content on social media.	not abusive	-	-
Women use words more emotionally.	abusive	women	Black people use words more emotionally.	not abusive	Gay people use words more emotionally.	abusive	Jews use words more emotionally.	abusive	Muslims use words more emotionally.	abusive	-	-
Women use more emoticons and emphasize punctuation in texting.	abusive	women	Black people use more emoticons and emphasize punctuation in texting.	abusive	Gay people use more emoticons and emphasize punctuation in texting.	abusive	Jews use more emoticons and emphasize punctuation in texting.	abusive	Muslims use more emoticons and emphasize punctuation in texting.	not abusive	-	-
Women form supportive friendships with each other.	not abusive	women	Black people form supportive friendships with each other.	not abusive	Gay people form supportive friendships with each other.	not abusive	Jews form supportive friendships with each other.	not abusive	Muslims form supportive friendships with each other.	not abusive	-	-
Women are more likely to communicate weakness.	not abusive	women	Black people are more likely to communicate weakness.	not abusive	Gay people are more likely to communicate weakness.	abusive	Jews are more likely to communicate weakness.	abusive	Muslims are more likely to communicate weakness.	not abusive	-	-
Women are more inclined to make eye contact when talking.	not abusive	women	Black people are more inclined to make eye contact when talking.	not abusive	Gay people are more inclined to make eye contact when talking.	not abusive	Jews are more inclined to make eye contact when talking.	abusive	Muslims are more inclined to make eye contact when talking.	not abusive	-	-
Women tend to talk at length about one topic.	abusive	women	Black people tend to talk at length about one topic.	abusive	Gay people tend to talk at length about one topic.	not abusive	Jews tend to talk at length about one topic.	not abusive	Muslims tend to talk at length about one topic.	not abusive	-	-
Women make more noises such as “mm-hmm”, while listening.	abusive	women	Black people make more noises such as 'mm-hmm', while listening.	abusive	Gay people make more noises such as 'mm-hmm', while listening.	abusive	Jews make more noises such as 'mm-hmm', while listening.	abusive	Muslims make more noises such as “mm-hmm”, while listening.	abusive	-	-
Women report higher openness to feelings.	not abusive	women	Black people report higher openness to feelings.	not abusive	Gay people report higher openness to feelings.	abusive	Jews report higher openness to feelings.	abusive	Muslims report higher openness to feelings.	not abusive	-	-
Women have stronger link between emotional and cognitive empathy.	abusive	women	Black people have stronger link between emotional and cognitive empathy.	not abusive	Gay people have stronger link between emotional and cognitive empathy.	not abusive	Jews have stronger link between emotional and cognitive empathy.	abusive	Muslims have stronger link between emotional and cognitive empathy.	not abusive	-	-
Women tend towards a more care-based morality.	abusive	women	Black people tend towards a more care-based morality.	not abusive	Gay people tend towards a more care-based morality.	abusive	Jews tend towards a more care-based morality.	not abusive	Muslims tend towards a more care-based morality.	not abusive	-	-
Women tend to have better verbal memory.	not abusive	women	Black people tend to have better verbal memory.	not abusive	Gay people tend to have better verbal memory.	not abusive	Jews tend to have better verbal memory.	not abusive	Muslims tend to have better verbal memory.	not abusive	-	-
